,Name,Bio
@mateo_ventures,Matt Wright,Community @GoQuorum
@DanEnglishby,Dan Englishby,Full Stack #Developer. JavaScript Visualisation Enthusiast. Founder @codewallblog | #100DaysOfCode is Awesome!
@mike_kaufmann,Michael Kaufmann,"Microsoft Regional Director & MVP. Author, Speaker | @DevoteamAlegri @AlegriStuttgart @AzureStuttgart . Tweets #DevOps #Agile #Scrum #Azure"
@Circumspector,Alex (:shortened given) Livingston (:patrilineal),Trying to avoid error—i.e. to enjoy. Disabused of dogged faith/loyalty. Think/feel deeply. Unwitting maverick. Full of ideas. Trapped in mundane. What matters?
@jafelco,James Lico TI,I am exposing Slavery of Innocents on the Terrorist Watch List & I need your help so please follow and I will update. my website: http://JamesLico.com #FOLLOWBACK100
@borjasolerme,Borja Soler,Product Designer | UX & UI | Growth Product designer @airhopping
@Claire_Harris82,Claire Harris,I'm am industry #analyst helping company's understanding of their position relative to their competitors. My focus in on #EmergingTech
@iamkingwells,Tae Wells,#NOCAP (No Obstacle Can Affect Progression)
@SintheraSrl,Sinthera srl,"Information & Communication Technology #Datacenter, #Networking, #DigitalWorkspace, #Security."
@Rosamexican01,Jürgen F. Wacker,"My Hobbys: Photographer,GoPro, Videos,News,Travel,Animals,Nature, Soccer,Sports,Politics. deutsch/englisch/español-------------FOLLOW ME ON FACEBOOK: =========="
@sumuelahi,Sumu Elahi,"Dreamer, Believer| Wife, Sister| #ClimateChange activist| Blogger #Greenpreneurs [] #StandforCleanair| MBA| Filmmaker"
@RajeshK79275670,Rakesh Kumarbhagta,
@PabloRedux,Paul Harland,Evolution: it's nothing personal. (Sorry if I ask too many questions... Share nicely!)
@coulloudonv,Virginie Coulloudon,"#career #branding #sustainability #leadership, #publicvalue, #wellbeing @yourpublicvalue Formerly @anticorruption @osce"
@AkmConsulting,Adam Mullin,Business & Marketing | Int’l & Domestic Banking | Financial Payments & Solutions | Projects & Campaigns | Process Improvements & Efficiencies | Fraud Management
@dariusstrasel,𝙳𝚊𝚛𝚒𝚞𝚜 𝚂𝚝𝚛𝚊𝚜𝚎𝚕,"Polyglot software engineer, photographer, thinker of things, learner/lover of life, and mediorce musician. #INTP #CSharp #Python #JavaScript"
@mohamedelbasra4,bastore15,
@Elvis94137140,Elvis the freak,hey there am drinking alcohol
@PVynckier,Philippe Vynckier - CISSP,"I work in information systems security, I like to talk about new trends in processes and technologie in cybersecurity and in business intelligence. Security GCP"
@its__veee,.,Nobody . I just be chillin minding my own. |Dark skinned Xhosa man| Movie Fanatic |Foodie | House&Hiphop music connoisseur .|Retweets≠endorsements.
@JayYarid,Jay Yarid,"Seasoned Business Development, Senior Sales Executive, Swimmer, Golfer, Boot Scooter, and most importantly Father of 2."
@clark_gasm,"Clark
% XMAS","Host of @TagsCheshire . Overworked, Underpaid, largely indifferent. @GhostlyClark & @clark_gasm_ Founding member #BarCornerBoys"
@KelKass,Kelly Kass,"I'm a NYC writer working in healthcare PR. 3x @midnight Top 10'er, 3x @HuffPostComedy , Mets fan, foodie & pun specialist!"
@Temitop27417269,Louis green,
@MarketerNCust,Marketer and Customer,Digital Marketing and Digital Transformation point of interest. Marketing Automation news. #Martech #SocialMedia #InfluencerMarketing
@lagatyl,DANIEL KINGS #BbNaija,I just want to be happy
@SamitRng,Samit Mondal,SEO Link Building Expert Content Writer Digital Marketing Social Media Professional Blogger Online Media Publisher
@Goto_paulcastle,Paul Castle,"Mentor|Trainer| Public Speaking|Leadership|Mindset|Confidence| Presenting yourself, your ideas, your skills in a way that gets you noticed|Curious about success"
@Robert_M_Barger,Robert Barger,Owner of GoGuides since 2001 and Zipdy Freight since January. Sorry NO DM’s except for business. Live life to the fullest and focus on the positive.
@FortyFourThree,John van Dijk / FortyFour-Three,Think about the change you bring to the world. Get your projects done on time. Have your computer do your repetitive tasks. I want you to succeed in all.
@jackcoleman219,Digital IoT Reporter,"Compiler, Mastermind, Reporting on all things #Digital and #IoT. Tea Drinker and Agency Founder working on #AI and #Automation."
@FortuneA100,Future Fortune,Entrepreneur | Co-Founder of Authentic 100 Waste Management |A lover of beauty | Nature Fanatic| Environmental Enthusiast| Humility | Authentic .| Travel
@howdy_akshay,Akshay Aggarwal,Global Alumni Ambassador at @draper_u | India Head & Co-Founder @blockchainedind | CEO at Blocumen Studios http://blocumenstudios.com |
@Teresaramz55555,Teresa Ramirez,"Mexican leon,Gto San Diego, California Information Systems Management guitar player traveler"
@FIRST_LisaB,"Lisa Breuning, FIRST","Director of Operations, Foundation for Ichthyosis & Related Skin Types, Inc, (FIRST)"
@LoveSunBody,Dr. Terry Zickerman,"CEO, Love Sun Body, Physician. Expertise in natural sunscreen formulation & research of transdermal effects of sunscreen filters & synthetic ingredients."
@NandeeshShankr,Nandeesh Shankar,Founder @AppKompute #IntelligentAutomation #CloudComputing #Security #RPA #Opensource #AI #ML #IIoT #Visualization #SupplyChain #Blockchain
@gk_connected,Gopala Krishna Bala,"Founder @ InnovX Minds #IoT, #AI, #V2X, #Cloud, #DevSecOps, #ApplicationSecurity, #Blockchain, #CyberSecurity #Strategy"
@EFuturists,Elite Futurists,"We are committed to empowering leaders & decision makers. Founded by @kashthefuturist , #AI #Future #SDGs #sustainability"
@HaydarA67636664,Haydar Ali,"Vii. Temura, PO. Dhakua, Dist. Barpeta, Pin code. 781309, phn no. 9970057399"
@harryalba,Harry Alba,"Fundraising, Biz Dev and Marketing Pro. Tweeting about: Healthcare, Motivation, Business, Investing, Golf, American Football, Music, Nature, Nutrition, Life!"
@FeatheredIndian,Feathered Indian,Fashionably spreading fiat FUD | DM us your product choice and shipping address to pay through CashApp! |
@FrankPasquale,Frank Pasquale,The Black Box Society: The Secret Algorithms Behind Money & Information http://hup.harvard.edu/catalog.php?isbn=9780674368279… Reputation/Search/Finance
@VolMusings,Volunteer Musings,"Go Vols, Go Braves."
@marthawilcox5,Martha,"Animal person..I love dogs, save a life, adopt.. don't shop. Make me understand the lesson, So I'll find myself, So I won't be lost again.."
@TysonLester,"Tyson Lester, ChHC®, REBC®, RHU®","President at @PolicyAdvantage Insurance Agency. Employee benefits, athletics, brand development, travel, inspo, & SoCal life. Influencer. American College alum."
@bramlett_kermit,Kermit Bramlett,Small Business owner and network marketer.
@eripsa,eripsa,"robot. made of robots. #botALLY afk: Daniel Estrada, Lecturer @NJIT he/they"
@Passion_4Tech,Passion 4 Tech,"We share our passion, every day 24/7. #Technology #Innovation #Strategy #BusinessTransformation. Insights, data, articles, infographics and more."
@CsuiteTechPoint,C-Suite Tech Point,Fresh Tech News for Executives. #AI #Blockchain #Digital and much more.
@vietnam_journey,Vietnam Journey,100%#followback. Follow to update the beautiful images of Vietnam #VietnamJourney #VietnamTourism #Vietnamtravel #ScenicVietnam #VietnameseFood
@EmergTechEthics,MartinC,Lecturer @UL #AI Risk/Ethics on National http://M.Sc. in AI. Philosophy/Risk/Ethics impacts of #AI #driverless #dataethics #privacy Thoughts are my own
@danieljdevries,Dan DeVries,"#President #Cofounder & #COO @MassGenie , #Marketing #Ecommerce #Sales #SaaS #Startups #Operations #Socialmedia #CX #Tech #EmergingTech #DigitalMarketing #AI #ML"
@RodrigoLobos,"RodrigoLobos
(数字领导者 - 디지털 리더)",Analog human #DigitalExecutive. CEO @AcceleraDigital #DigitalTransformation #DigitalAdvisoryServices #DigitalLeadershipIndex #DigitalHarmonizationWorkshop
@ruu1__,Rahma.,Freelance Translator In love with Languages NO part time people in my life
@YanLiberman,"Yan Liberman, CFA","Co-Founder @Delphi_Digital . Former @DeutscheBank and @Bloomberg . Opinions are my own, memes are borrowed"
@murattarkan13,murat tarkan,born in Earth. Growed different countries and now in the middle of nowhere and having unbearable lightness of lonliness.
@jandr01d,Janne Ylinen,"Interested in Stock markets, AI, Robotics, Renewable energy, EVs and Psychology. Tweets represent my own personal opinions and aren’t investment recommendations"
@Holyshadow4,Holyshadow,"a moorish Slatee who lived in the medieval ages, but still continues to live in 21st century to perpetuate the ancient wisdom in this insane world."
@joe_hager1,Joseph Hager,
@darrinpjohnson,Darrin Johnson,Director of Technical Marketing @NVIDIA for Enterprise #AI #DL #ML #DeepLearning #MachineLearning #HPC #AdvancedAnalytics #Innovation #RAPIDS #DevOPs #Storage
@peterxing,Peter Xing,Transhumanist | Co-founder @transhumanismau | Senior Tech & Innovation Manager @kpmgaustralia | Exec @sciencepartyaus | Board Member @suaustralia
@cccalum,Calum Chace,"""The AI guy."" Author of four books on AI, our most powerful technology. Co-founder of The Economic Singularity Club. Occasional bonus material on Brexit."
@PrG2m,G2,You want your product or service to get attention? Tech services for hire #GG33
@NandnNor,Nand & Nor,"Technology, coding and more from our logical world. #Dev #Tech #AI #ML"
@JohnBuyers1,John Buyers,"AI, Machine Learning lead and technology & outsourcing lawyer at Osborne Clarke. Author of ""Artificial Intelligence: The Practical Legal Issues"". Own opinions."
@DaniTorres0407,Dani Torres,"Artist and novice photographer who loves nature, creativity, the IoV and #XRP! Visit my website for #Ripple and XRP inspired Artwork! @Dani_FineArt"
@mjs03093641,Dysfunction Jct,I don’t fucking know! https://twitter.com/search?vertical=default&q=from%3Amjs03093641%20-filter%3Areplies…
@jought6,PBJought6,Everything. Nothing. Crypto. Powder. $XRP $TRX $SNOW
@Kasum_Capital,Kasum Capital,We are a private investment firm focused exclusively on ventures and businesses related to digital assets and blockchain technology.
@bbbender607,"Bob Bender
CISM, CRISC, CAC",Bob Bender CTO -Fintech -Founders FCU @foundersfcu . Advisor Leadership-Cryptyk-$CTK | $XRP | #XRP | @Ripple | #XRPCommunity | @XRPTipBot | @Coil | @XRPLLabs
@xrpNuts,XrpNutzZ,"They call us dreamers,but we’re the ones that don’t sleep. #MUSKETEERS"
@PeterVas6,Peter Vas,"Master retweeter,Crypto , Cars , DJ, Hockey, Baseball, XRP ARMY..."
@cryptojasexrp,@cryptojaseXRP,XRP invester hodler crypto enthusiast building the foundations to a better future
@StartersCrypto,Crypto For Starters,"""Crypto For Starters"" is available on http://Amazon.co.uk & http://tslbooks.uk. XRP & EOS hodler."
@InfosecWelcome,Infosec Welcome Wagon,#Infosec Welcome Wagon
@JoelMinanaE,Joel Miñana,"Neuro Coach, Speaker y Autor"
@ErnieHuber,Ernie Huber,Technology leader into: #Leadership #CIO #AI #Cloud #Digital #IoT #AR #Family #PennState #FirePits #NEIPA
@CourseCast,CourseCast,CourseCast is an online resource for Video Course Creators. #videocourses #onlinecourses #onlinebusiness http://coursecast.com
@BillyAr91871894,Billy Argenta,billy
@Binaryoptionspf,Binaryoptions profit,Best #BinaryOptions Trading Strategy 99% Win here is super #deal 91% Profit 100% FREE! training. http://bit.ly/2q2yX97. or check demo account fully free
@Droit_IA,Pierre-Antoine Rizk,Master's degree in Digital Law @univamu #Law #AI #Tech #Data #Robots #IoT #Legaltech #Blockchain #VR
@WomeninTechChat,Women in Tech Chat,"#WomeninTechChat is an initiative intended to inspire, share content and chat (Tuesdays 6PM CET/CEST). Founder: @TiffanyHoran #WomeninTech #WomenWhoCode"
@derbrad,Dermot Bradfield,Lecturer at 3 Dublin Colleges (until I acquire a PGA Tour card ). Usually found somewhere between business and technology trying to teach my way out.
@TuwaniMudau,ManUp De Best™,"I am a Verifier Venda Man My Tweets Are Consisted Of Political Codes,Jokes,Motivations,Anti-Religious And Love."
@KinShip_Deep,KinShip Deep,"Determination keeps me moving, Blessings keep me breathing. // Romans 12:17-18 // Every Friday 17:30 @MakhadoFM1"
@ellenorea,ellenore,#Strategist #Negotiator #Survivor #Coach #KeyNoteSpeaker #Writer #Kindle #Amazon #Workmom #SocialEntrepreneur #Ethiopia #Basketball Founder @OpenHeartsBigD1
@Rulo_RT,Raul_RT,"Always Learning! Process, Projects & Solutions Development, Coaching, Leadership, Innovation** RRHH, Proyectos , Procesos, Liderazgo, siempre Personas!"
@DoctorMP,mohan pande,OPEN MIND-POSITIVE ENERGY
@DavidJPearson1,David J Pearson,"Secret serial killer/ Social media stalker/ Potential hitman. Oh and I have a dog, go to the gym and I’m a writer of science fiction and fantasy."
@frShir,Fred Shir,#technology enthusiast and #Futurist . Digital marketing #Manager at @Meee_Services #Electronics #Electrical #mechanical #solar #MEP Design Provider
@blockchain731,blockchain,#bitcoin #blockchain #crypto
@MarniMacrae,Marni MacRae,"Author, list lover, quarterback wannabe, mothership escapee, editor at Notebook Publishing."
@Lionheart21112,Stephen Leonard,"Atheism, Democracy , equality, inclusion, First Nations first, treaty, republic, humane treatment for asylum seekers. Born on stolen Darumbal country."
@lnxdesigns,Elaine Lennox,Hairdressing lecturer at Ayrshire College. Currently designing new innovating hairdressing and Barbering apparel. Watch this space!
@PeachEPawtraits,Erica Ramsey-Bowen,"Wife, Artist, Optimist. Gen Xer. Shinkendo Student. Work in Progress. Humbled to Share My Gifts From My Creator Love Always Wins"
@CatPromoter,Cat,#music
@InvestCG,Carlos Gerardo DSLM,Innovation - CFO @ INDEYC - Technology Infrastructure
@ErvinEMyers,Ervin Myers,"USA based internet marketer and #entrepreneur! Lover of God, good company and Golfing http://MDCSuccessLine.com/Omorfia"
@Gcampbell6,Gwendolyn Campbell,
@Frag_of_a_Fig,Kel,"a bookworm, college grad, poet, and published author of Lies Before Bed #writingcommunity #poetrycommunity"
@saschabaehr,Sascha Baehr,"commodity-markets, renewable energy, power-plants, el. vehicles, e-mobility, innovations, (blockchain-)trading of electricity, battery storage"
@JenSheasgreen,Jennifer Sheasgreen,"President at Siena Healthcare Finance - Entrepreneur focused on asset-based lending, healthcare lending, alternative financing, and small business. FHFMA"
@lifeofenergy,Steve Austin,"Managing software development and projects. Mentor. Shamanic, Spiritual & Crystal Healer, Reiki Master Teacher, MM & JD, Rosicrucian, 5thDanSK."
@NostrumEX,NostrumEX,Crypto Exchange & Digital Asset Trading Platform | #Cryptocurrency #Bitcoin #Ethereum #Ripple #Altcoins ... @NostrumCoin #AIRDROP PROGRAM for our community
@scottshoponline,Scott's Shop Online,"Compare consumer electronics based on price, features, reviews and other criteria to find the best deals online.#electronics #computers #laptops #iPhone #iPad"
@CannaVcell,CannaVcell Sciences,CannaVcell Sciences $CNVC is the exclusive Cannabis worldwide licensee of the proprietary and patent protected BioHarvest technology.
@AK_Mullin,Adam Mullin,"Channel Manager, TELUS Financial Solutions @TELUS . Campaigns, Process Improvements & Efficiencies, Business & Marketing, etc. This is my personal account."
@DianaSkelton,Diana Skelton,"National Coordination @ATD4thWorld : social justice, #EndPoverty, learning from people living in poverty, #FamiliesBelongTogether"
@cvmassei,Claudia Vergueiro Massei,"Passionate about #learning, #people development, #entrepreneurship. #GlobeTrotter. Fascinated by cultural #diversity. Contributing to the #development of #Oman"
@bcloudinterface,Human Brain/Cloud Interface,Published by Frontiers. Official twitter account. #braincloudinterface Posts by Amanda Scott - Alias Sydney @tantriclens
@BerinBez63,Bez,"Older gamer, infrequent fisher, former community service worker, single parent, detests greedy hypocritical RW nutters. Key words respect, compassion, honour."
@scarleeetta,Laura coach,"coach, explorer, knowledge seeker, educator, storyteller My passion is to inspire #embracechange #embracegrowth #embracesucces #writing #inspire"
@mitchmerry,mitch merry,Activist. Digital Director @endangered . Viewpoints are my own.
@ClarkDennisM,Dennis,"US Navy Vet, Legacy EVs supporter. #KonaCoffee #Forex #Porsche #MercedesBenz #EQC #EQS #Rivian #R1T #R1S #Taycan #CrossTurismo #VW #IDBuzz"
@0ctopu5,Chris,"Carbon-based life form, seething introvert, retired journalist, sailor, InfoSec pro, guitar slinger, cat wrangler, father. Thoughts here are my own (fancy that)"
@thetwoworlds,The Two Worlds,"Self-Help, Wisdom, Poetry, Mysticism, Science & the Universe. Author of ""The Two Worlds"" http://amzn.to/2G7iPyh Persian: @doortoinfinity FB: https://bit.ly/2De84HV"
@dwight1961,Dwight,CompTIA Secure Infrastructure Specialist. Amateur Radio Extra Class licensee. Shortwave/scanner radio. Weather watcher/music lover. Studying #Wireshark #OSINT
@RobertPCrockett,Robert Crockett,"Father, entrepreneur, author, thinker, fixer, late bloomer."
@Frank__Davies,Frank Davies,"Tops are family, logic, comedy & neopolitan icecream. Climate & ocean inaction is tragic, religious bigots & right wing zealots are evil. #auspol #Resist #FBR"
@JulianMCarver,Julian Michael Carver,Author | Filmmaker | Husband Exclusively writing about prehistoric life. Amazon Bestselling Author of #TheBackpackDinosaur series! #writingcommunity
@AndyTowersPLL,Andy Towers,"Head Coach for @PLLChaos in the @PremierLacrosse League, Indoorsman"
@iamChuckRussell,Chuck Russell,Founder Collective Intelligence #TheFutureOfWork #BMGI #TheBigShift #ai #datascience #blockchain #IOT
@ishtiyakshaik12,Ishtiyak,Digital Marketing l|Blogger ll Promotion & Advertising ll
@MyMigraineLife,MyMigraineLife,"Migraine mom & teacher living with chronic illness. Blogging about health, positivity, travel, self care, my kids & dog http://facebook.com/mymigrainlife"
@webfitnessclub,WebFitnessClub,Discover Your Fitness Secrets!
@bukarskywalker,Bukar Gadzama,Freelance writer
@phil_halton,Phil Halton,Writer. Veteran. Flâneur. Edits @bloodbourbon . Curates @QYRangers Museum. Novel: “This Shall Be a House of Peace” set in Afghanistan. ( @dundurnpress ) (he/him)
@EttaSilby,Etta Silby,I #amwriting every chance I get. I #amreading when I'm not creating my own words. #LGBTQ+ (She/Her) #Insomniac #ProudLiberal #NotMyPresident
@ChrisCarmody4,Chris Carmody,"Former school principal and published author. Interests include: writing, politics, cricket, AFL, the environment, bird photography and social justice issues."
@ModelAmeee,Amy louise,"Weird, Wonderful, Lover of life, Creative, Wild, Art, Books, Fitness, Sunshine, Dance, Food/Movie Junkie, Animals, Adventures, Travelling, Tea and Yoga. Model"
@FJ_Duncan,FJDuncan,US Navy vet and proud father. Enthusiast of engineering and sciences. Aspiring Epic & Dark Fantasy author. Avid fan of Death & Black Metal.
@Luke_Doctor1,Some Nobody,Chronically opinionated
@SongsOfEden,★ Yoga Music - Songs Of Eden,"Music for Yoga, Pilates & Meditation. Enhace your practice. http://songsofedenmusic.com SPOTIFY"
@JosephAngell9,Joseph Angell,I love Jesus and God I Love everyone
@melanie_korach,Melanie Korach,"#Poet, author of #LifeLines, teacher in . Founder of the #StarfishClub. I believe we all have the power to change the , 1 life at a time! #FirstResponders"
@vzmary,Mary,Photography / Yoga Instructor ॐ https://society6.com/vzmary
@ahastingsauthor,Ashley Hastings,"Author of steamy romance novels. Crazy cat lady and burrito lover. ""If opportunity doesn't knock, build a door."" Milton Berle"
@ojo_duke,Ojo Duke,"Father, Husband, Geophysicist, Geoinformatics Specialist, Computer Programmer, Implementation Strategist. A Child of God!"
@HowSustainable,Sustainable Australia,"A Dad in Melbourne. Passions: Climate Change, Sustainability, Recycling. I follow and share news, events, tech related to these. Be the change our planet needs!"
@ajsasquad,Alexander J Savage,"#Homeless 5yrs Military Veteran Dog Croc One Son of Appin City of #Adelaide #Homelessmartyrs @huttstreet Client & Supporter Love u all,Love Adelaide"
@d11hausmann,Daniel Hausmann,let's digitize! | mindSphere & digitization consultant @SiemensDE | roadbike addict | photography enthusiast | 11 | ... just my two cents!
@Sam_RoarMedia,Sam Button,Head of Growth @Roar_Media --- #DIGTRA Amsterdam Oct 3 #DigitalTransformation Boston 10/17 D.C 10/24 #DisruptMarketing London Nov 21 #TechForGood London Dec 5
@flavio_fdv,flavio fontana,Have a nice day. Quack.
@SciGuyDeep,SciGuy,Working at the intersection of #law and #technology - #Stealth startup in new mobility #AI #tech-Nov2019
@LaxIdeaSergio,Sergio Lax Vega,#Tuitiritero |#DaddyCool | Curious & Analyst since I was born #LaXideaSergio #LaXMT KeepCalm LaxON! \ My own opinions / https://t.co/AFWots6SW
@AmeliaShotgun,Amelia Shotgun Sports,"Amelia Shotgun Sports is located just west of Amelia Island, FL in the town of Yulee. The club offers Sporting Clays, Skeet, Trap, and 5-Stand"
@andrewhoodtwtp,Andrew Hood,"Author, overthinker and international man of mystery http://amazon.com/author/andrewhood… - https://m.facebook.com/andrewhoodauthor/…"
@JDRichards0322,JD Richards,Equality with no exceptions. Peace - We are all brothers and sisters. Turn to your God and pray for everyone. Bless you all!
@MCL15872441,MCL,Stocks
@tilljoel,Joel Larsson,"Managing Director @fasttrackmalmo - Tweets about the nordic startup scene, Tech and some random personal thoughts."
@GoKuSODMG,MichaelGokuJones,. .D NEY G Gamer. Skater. Suzanne #SODMG #BASED
@gezbrady,Gerald Brady,"Head of SVB Network at Silicon Valley Bank, helping connect entrepreneurs, corporate CXOs & VCs. Passionate about innovation & entrepreneurship."
@you_stem,STEM & YOU,"Science, Technology, Engineering and Mathematics for You on Social. #Science #Technology #Engineering #Math #STEM"
@MonicaStorms,Monica Storms,Mom. Wife. Writer of Sci-Fi/Fantasy. Singer: http://nicabrooke.com. @NicaBrooke . Art teacher. Gryffindor. Part cat. Nerd to the core. #writingcommunity
@ECLemus1,ECLemus,An American #author #writer of #books #ScienceFiction #Horror #Fantasy #art The latest #Novel : #TheMasterOfRealities The Labyrinth Of The Dead Souls
@3BodyProblem,Fabian Schmidt,"Head of Software Engineering / Inventor / Founder @DigitalisHomo / Industrie 4.0 / Environmental Sustainability / Tweets mainly English, sometimes German"
@n_stiltner,Benjamin N Stiltner,"I am an aspiring #poet, #author, #entrepreneur and force for good in the world. I am the President of Crimson Azure #Publishing LLC."
@futafekarymu,Jammal Harris,
@tauyalebowa,Ramogolo Kgaugelo,Interested in Innovation. Management Scholar. Abivert.
@james00000001,James One,"Reject Post-Truth apathy. Without racism, beauty is everywhere. Free speech and freedom is everything. #AntiRacist Always was, always will be, Aboriginal land."
@yanaioron,yanaioron,VC @VertexVentures
@RtwGeno,Geno Converse,all abt the peace and working to become free PEO
@Nationfirst00,Yes Boss,Pain-killer
@munimbinsalim,MD. Munim Bin Salim,Professional Graphic Designer. DM to discuss. Portfolio: http://behance.net/munimbinsalim
@Ss_9611,នϦƦ♬ᖱᖱϦ♬,when I'm asked to describe myself I forget who I am.......
@corey_tutt,Corey Tutt,Proud kamilaroi man founder of @deadlyscience Research assistant @thematilda_Usyd 2020 young Australian of the year NSW
@BentleyAudrey,Audrey Renée,Bioinformatics•Infosec•Genomics•Sports ~The Science of Today is the Technology of tomorrow~ La famiglia prima di tutto
@assadzafar007,asad zafar,freelancer or web developer and marketing
@impradip567,Pradip Biswas,
@SUBHASHNIRMAL1,SUBHASH NIRMAL,Social work
@NickolasHadzis,Nickolas Hadzis,"artist painter, singer, performer, actor and lover and creator of fashion too. Instagram: amplifiednick facebook: Nick's Art Studio and hand done shirts"
@WorldTrendsInfo,Kim Muro,#Innovation CIO • #BigData #Cloud #SaaS Leader • Future of #Digital #MobileFirst • Interested in #VR + #AR • #WomenInTech Building #IoT
@TAlanHorne,T. Alan Horne,Author. Keeper of secrets.
@JamesMuritu,James Muritu,"Entrepreneur, Disruptive Thinker, Senior Business Executive, Mad about convergence of IT & Business Needs. Projects, Programs, Business Transformations. Ideaz"
@batannerphotos,Brandi Tanner,Freelance writer and photographer based in Toronto. Membership Coordinator for Canadian Authors - Toronto. #writingcommunity #amwriting
@andrers52,Andre,Entrepreneur. Software developer. Gym rat. #gamedev #ai #software #technology #exercise
@mllkm4n,Chuck Schleutker,An above average computer programming internet engineer adventure... club member and filthy casual gamer. Tweets are my own.
@ibukunenesi,ibukun enesi,Mediko
@neal_gosz,Neal Gosz,"Hot sauce seeker. Jenga champion. Craft beer drinker. Packers, Brewers, Badgers, Predators, Bucks"
@BrexEco,BrexEco,Founder of #BrexEco #RenewableEnergy #projectmanagement consultancy. Website is in #beta phase. Looking for #startup #investment #investor 35% #equity #brexit
@TheIotWarehouse,The IoT Warehouse,"The official account of The IoT Warehouse. The premier global #Hub for all things #IoT! Featuring #SmartHome, #AI, #HiTech & #gadgets. Our #website live soon!"
@melanie_adcock,Melanie Adcock,#Founder: @TechMonth @TechSceneChi @Techcopyauthor #chicagotech #contentstrategy
@SethLevine2,Seth Levine,"Professional investor & creator of The Integrating Investor. Markets, individualism, & art. Personal opinions, not advice. In pursuit of the exceptional."
@PRIMUSTHCCBD,CBD & THC WORK OF PRIMUS D.,Working hard to make our company a global brand. Cbd Hemp Cbd Edibles Wellness cbdoil Cbd Hemp Cbd Hemp Oil Movement Cbd Skincare Cbd Edibles
@nota_nyc,NOTA Corporation (NYC),"Michael Macintosh, Crystal Macintosh. BOS + NYC / global org. NOTACORPORATION@AOL.COM."
@bestofferall,ali,Now anyone can make money online by our proven and tested methods #internetmarketing #makemoneyonline https://jvz1.com/c/774229/163494 #affiliatemarketing
@BassheadJay,BassheadJay,the is ‘Left’ of center. ... the ‘Right’ is oh so wrong!
@RAllarakhia,Rihab Allarakhia,Transactional Lawyer. Evolving too quickly to document.
@_VJMB,Senior Fat Cat,Young Visionary.
@from_wtm,William Muller,"Husband, Father, SysAdmin, Web Developer and Social Media Advocate"
@T_A_Woods,TW,
@BrotherVinny,Paul DeYonghe,Click Follow. You know you want to.
@ADumpliano,Dump,Dump the dump.
@zamboglou,Demetrios Zamboglou PhD,Blockchain Banker @getbabb Microeconomic problem solver @KingsCollegeLon Technology innovator @CyBlockchain
@zerotorevenue,Zero To Revenue in 1 Week,3 Founders 1 Idea 7 Days 0 to Revenue
@Nitin_G29,Nitin Gandhi,Co-Founder and CEO of @shape_crunch - Bio-mechanically accurate 3D Printed Custom Footwear solution. Forbes 30 under 30 Asia - 2019
@mikecrowden,Mike Crowden,"Father, urban farmer, owner of Root + Holler, hiker, rock climber, Oregon lover"
@Elena74240184,Еlena,Quietly looking at the stars ..
@AbdulMahmud01,Great Oracle,"Senior counsel @ephesisL He thinks, therefore, he's the Great Oracle"
@PhilHart_,Phil Hart,Full Stack Developer | Student | @lambdaschool
@fastlanersonly,Fastlaner in Training,
@Geoffanoke,|a|n|o|k|e|®,Digital Marketing
@vopnucityempire,Vopnu City,"We are an excellent, indigenous and versatile real Estate development, investment and management solution provider with a global focus."
@MichaelBorella,Michael Borella,I'm Michael Borella
@XrpJames,"Xrp jamest, DAI channel official Former Navy Seal","Am a proud father, husband, and a veteran, love the outdoors and I’m an avid hunter and fisherman. Also a huge XRP fan and investor,My opinions are my own DYOR."
@ChifeDr,Dr Aloy Chife,Entrepreneur. Humanist. Philosopher.
@stefan_lion,Stefan Leon,Ready for more.
@joanhubbell,Joan Hubbell,Hate injustice. Love the underdog. Always listening.
@youmightknowyou,SURAJ KUMAR,"#Blogger and social media expert, Catch me on GuestCrew: http://guestcrew.com"
@footballoco11,footballoco,YOUTUBEUR/FOOTBALL VIDÉO EDITOR / ÉDITEUR DE VIDÉO FOOTBALLISTIQUE/ DO YOU LIKE FOOTBALL ? YES ? PLEASE SUSCRIBE TO MY CHANNEL FOR IS LAUNCH !
@Mansourbarnaoui,Mansour Barnaoui,Official account of Mansour Barnaoui // Pro fighter MMA // Former Champion of @bamma @m1globalnews Current lightweight champ @Roadfc
@j23887hhhgggka,j,:P
@BuildANewLegacy,Legacy Housing,"Legacy Housing is one of America's best values in manufactured housing. W/over 130 dealer locations nationwide, we are the #1 choice for affordable housing!"
@Grabmythought,Relatable quotes,
@leeleefromearth,Leslie Wilson,"culture, community, comedy"
@Scrippins,Scrippins,#dogeku #dogeta #DogeMoonWOW #pixelart #projectfreelance #OTJunkie #yearofthedoge #InElonWeMoon #MOON #WOW #MUCH #SUCH
@moneyartist,Igor Arinich,"I am an artist. I create paintings from genuine banknotes but if football and women didn't exist, all the money in the world would have no meaning."
@GunnarKron,Gunnar Kron,"#Entrepreneur, #Tech, #Media, #Music, #ConsumerElectronics, #Founder, #Enthusiast,#Value, #Inventor of #HDSX® - High Definition Sound Expansion, #HDSXbox"
@naveenc860,Naveen Chauhan,
@zach_cpt,Zachariah George,Managing Director @SBCAfriTech ; Ex Investment Banker @Barclays NYC; Top Impact-Driven Angel Investor in #African #Tech #Startups; @Stanford Grad; Musician; Dad
@soze010,David,
